"","a","b","c","country"
"1",148,0.227680434407886,21.7949388870855,"Afghanistan"
"2",127.402547770701,0.337415202612725,9.89920100192888,"Albania"
"3",528,0.220702164493517,30.0967794346023,"Algeria"
"4",328,0.599772475851079,10.8572311379519,"Andorra"
"5",6,0.482804601651848,5.00005171009962,"Antigua and Barbuda"
"6",774,0.293185142221748,22.7378569926995,"Argentina"
"7",470,0.458207241521802,14.1559979168024,"Armenia"
"8",4088,0.090300866748669,80.9313485861683,"Australia"
"9",10566,0.306560668027821,28.5430695281584,"Austria"
"10",174,0.169273476042904,26.2253037272818,"Azerbaijan"
"11",784,0.143680916381299,28.5219198033161,"Bahrain"
"12",78,0.226423328676376,18.0496790198477,"Bangladesh"
"13",36,0.449674903298563,7.69342609728695,"Barbados"
"14",162,0.224261297895972,24.2287048848506,"Belarus"
"15",8538,0.344835290610005,24.9290480283498,"Belgium"
"16",12,0.26285350362931,10.5711934724512,"Benin"
"17",4,0.196203328832899,6.59995389578654,"Bhutan"
"18",58,0.242704856983765,13.5504773547832,"Bolivia"
"19",332,0.280496974441408,20.4158484554492,"Bosnia and Herzegovina"
"20",4494,0.327603586017875,28.6848822992038,"Brazil"
"21",208,0.307718036508162,13.6508715189249,"Brunei"
"22",436,0.326902551313723,15.7680800578442,"Bulgaria"
"23",228,0.41029078295667,14.7495773219467,"Burkina Faso"
"24",168,0.310763775629195,19.3307122119527,"Cambodia"
"25",5478,0.114994534335231,76.8321848400497,"Canada"
"26",6,0.24363519803875,8.80082843699262,"Central African Republic"
"27",1844,0.357539909227351,21.6284349053058,"Chile"
"28",79244.9467362606,0.17657368031943,20.7308139934559,"China"
"29",756,0.392787223749745,18.6058961694827,"Colombia"
"30",8,0.258105189022285,9.30686039893902,"Congo (Brazzaville)"
"31",90,0.370640028655081,14.3979832157521,"Congo (Kinshasa)"
"32",354,0.291780890667866,18.4614147648493,"Costa Rica"
"33",146,0.36047826559771,16.9831687975441,"Cote d'Ivoire"
"34",764,0.188928393641314,33.1071527422312,"Croatia"
"35",96,0.298973686977408,14.008648944351,"Cuba"
"36",232,0.31520311184115,14.5131985100936,"Cyprus"
"37",3426,0.340949405857718,23.3745082089846,"Denmark"
"38",6,0.287302475713492,8.0007057751085,"Djibouti"
"39",624,0.269674207005232,27.7828994877168,"Dominican Republic"
"40",2164,0.244204399182498,28.3161068024177,"Ecuador"
"41",804,0.283487018798808,24.7718874415782,"Egypt"
"42",18,0.349677678394389,9.08130224948619,"Equatorial Guinea"
"43",738,0.305039540458702,24.7219318766198,"Estonia"
"44",8,0.211865392774191,12.6782316854043,"Eswatini"
"45",24,0.309575867857276,10.7067401305403,"Ethiopia"
"46",1584,0.265010634745387,30.1750786419886,"Finland"
"47",40124,0.156390374791656,70.5917595115925,"France"
"48",12,0.282900261902573,11.4145540664627,"Gabon"
"49",140,0.189005961080625,26.879167760036,"Georgia"
"50",65972,0.169205256348055,66.4065972019546,"Germany"
"51",106,0.296018209963034,12.8072336690554,"Ghana"
"52",1486,0.256831280741764,25.9005427783948,"Greece"
"53",42,0.410317014968054,9.74253557466541,"Guatemala"
"54",8,0.171561461273005,15.1284150098468,"Guinea"
"55",40,0.221465254107677,16.2515250435315,"Guyana"
"56",8,0.583766143867119,5.00001115606034,"Holy See"
"57",60,0.312952142135097,13.1786715319535,"Honduras"
"58",334,0.266966432773842,20.4905929479597,"Hungary"
"59",1136,0.257574322628098,23.7040947137943,"Iceland"
"60",998,0.215157042966708,30.2142444086579,"India"
"61",1372,0.328931006742358,22.067884739858,"Indonesia"
"62",24832.2976114419,0.328804988930772,23.9290041069249,"Iran"
"63",632,0.179973453161193,28.9968299185471,"Iraq"
"64",2658,0.329784227680244,24.645688796904,"Ireland"
"65",3860,0.260488618703456,34.1315744236233,"Israel"
"66",138352,0.292312315702949,39.0420146963805,"Italy"
"67",42,0.219157117619016,12.6760047867777,"Jamaica"
"68",1376.55592894863,0.122798734057748,51.2466774624892,"Japan"
"69",308,0.51904176412502,11.6553173628402,"Jordan"
"70",77.8441835645678,0.466248606449979,7.07443094826074,"Kazakhstan"
"71",50,0.324053626727426,13.1426601181655,"Kenya"
"72",18074,0.177199152568165,54.6534426894932,"Korea, South"
"73",195.130345710627,0.188939822453345,16.4385275132178,"Kuwait"
"74",84,0.51923229976831,7.8026721581118,"Kyrgyzstan"
"75",360,0.311840148531945,22.0073699477501,"Latvia"
"76",636,0.210189103583032,32.4618223637763,"Lebanon"
"77",6,0.222379133541793,7.64635178890886,"Liberia"
"78",102,0.40681831896823,12.7833593690039,"Liechtenstein"
"79",418,0.387606973193899,17.35886918795,"Lithuania"
"80",2198,0.366946462378436,25.4786000502023,"Luxembourg"
"81",3036,0.0969178999221405,73.7489955425277,"Malaysia"
"82",26,0.105198326618184,13.1033405432521,"Maldives"
"83",220,0.279801595766063,17.3245200073407,"Malta"
"84",106,0.266622841917951,17.7558906075703,"Martinique"
"85",4,0.149901915299016,9.33296665981691,"Mauritania"
"86",84,0.585499456964355,6.82511676749756,"Mauritius"
"87",734,0.228967734756691,28.6853502854068,"Mexico"
"88",250,0.3561367484252,16.1803753060171,"Moldova"
"89",46,0.279843558573835,15.8618098855561,"Monaco"
"90",20,0.276206905496368,13.8524985281208,"Mongolia"
"91",68.3529411764706,0.663764584964751,7.12819605144277,"Montenegro"
"92",340,0.285419993229813,23.5986392587626,"Morocco"
"93",14,0.140045400069411,15.7821149276122,"Namibia"
"94",4,0.28253894585658,5.4436678570047,"Nepal"
"95",11156,0.324975848444196,25.1096969878565,"Netherlands"
