"","a","b","c","country"
"1",3406,0.141789785563658,50.3111752147505,"Afghanistan"
"2",741.598974181804,0.137831064677706,29.145256192457,"Albania"
"3",7034,0.145700434431736,55.4204336308274,"Algeria"
"4",1486,0.121980370780818,35.7506413159754,"Andorra"
"5",48,0.0889727874446506,30.9608407931965,"Antigua and Barbuda"
"6",8006,0.146698472510094,48.5935193999113,"Argentina"
"7",3616,0.130835307571729,42.7411071641513,"Armenia"
"8",13442,0.104198458883355,83.1873075881367,"Australia"
"9",30548,0.148027388058881,49.4601615551428,"Austria"
"10",3356,0.135969874417931,51.0287193493419,"Azerbaijan"
"11",5446,0.0864219886166425,62.2120277444547,"Bahrain"
"12",11826,0.171229455803107,52.3822550291766,"Bangladesh"
"13",160,0.0850723244801788,33.6950160495116,"Barbados"
"14",22578,0.167476226795593,59.0510804371089,"Belarus"
"15",93374,0.168754855537655,50.7803331758046,"Belgium"
"16",128,0.106696776781559,40.0028163289026,"Benin"
"17",14,0.0481276852037623,39.494941761134,"Bhutan"
"18",2028,0.128889994854721,46.6633992123505,"Bolivia"
"19",3130,0.137711782365273,45.9943298858791,"Bosnia and Herzegovina"
"20",118648,0.198941076984073,54.2556766909869,"Brazil"
"21",364,0.0544937403808329,45.0199966982258,"Brunei"
"22",2726,0.108016926722225,45.9300295029111,"Bulgaria"
"23",1270,0.130833992693998,39.4294805200118,"Burkina Faso"
"24",348,0.0900559328249373,46.6507176245574,"Cambodia"
"25",99232,0.134082886618298,89.6699608109843,"Canada"
"26",38,0.0765217003378875,44.0382491042816,"Central African Republic"
"27",27626,0.170427942624694,47.8089836750691,"Chile"
"28",83920.4419636821,0.100890596207206,25.2960647113638,"China"
"29",11194,0.164436992737797,45.9124790942721,"Colombia"
"30",400,0.146904698958763,40.0368332875841,"Congo (Brazzaville)"
"31",918,0.131920789749556,42.4194228519596,"Congo (Kinshasa)"
"32",1394,0.112805720388963,42.4801891936027,"Costa Rica"
"33",2328,0.165856525804173,41.5886991078033,"Cote d'Ivoire"
"34",4078,0.131867685486558,52.7088348565119,"Croatia"
"35",2778,0.150786854563867,41.3822950589141,"Cuba"
"36",1644,0.115891156650906,41.1601690773152,"Cyprus"
"37",17792,0.139647296595579,50.0721347769597,"Denmark"
"38",2070,0.205028262002316,36.4256898808677,"Djibouti"
"39",12586,0.178620051025018,50.4491997077297,"Dominican Republic"
"40",45438,0.16254370274092,54.0211027198684,"Ecuador"
